statusId | label
8|test
statusId|sensorName|value|timestamp
8|3-axis Accelerometer|[21.672314,-9.768343,2.4229321]|1485609778032
8|3-axis Accelerometer|[22.878992,-9.14585,3.3423057]|1485609778042
8|3-axis Accelerometer|[23.740904,-9.634268,4.261679]|1485609778052
8|3-axis Accelerometer|[24.449587,-9.969456,4.9320555]|1485609778062
8|3-axis Accelerometer|[25.503036,-10.5919485,5.3821654]|1485609778072
8|3-axis Accelerometer|[25.876532,-10.67814,5.21936]|1485609778082
8|3-axis Accelerometer|[26.077644,-10.036493,4.367024]|1485609778092
8|3-axis Accelerometer|[26.106375,-9.222465,2.9783869]|1485609778101
8|3-axis Accelerometer|[26.096798,-8.963891,1.8674773]|1485609778111
8|3-axis Accelerometer|[25.9723,-9.3182335,1.7429788]|1485609778121
8|3-axis Accelerometer|[25.52219,-9.959879,2.336741]|1485609778131
8|3-axis Accelerometer|[24.928429,-10.352529,3.3806129]|1485609778141
8|3-axis Accelerometer|[24.49747,-9.9790325,4.5394063]|1485609778151
8|3-axis Accelerometer|[24.114399,-9.030929,5.7269306]|1485609778161
8|3-axis Accelerometer|[23.63556,-7.728483,6.799533]|1485609778171
8|3-axis Accelerometer|[23.147142,-6.4739213,7.795521]|1485609778182
8|3-axis Accelerometer|[22.840685,-5.410896,7.929596]|1485609778190
8|3-axis Accelerometer|[22.419304,-4.5298295,7.824251]|1485609778201
8|3-axis Accelerometer|[22.151154,-3.9935284,7.833828]|1485609778210
8|3-axis Accelerometer|[22.017078,-3.5529952,8.034941]|1485609778220
8|3-axis Accelerometer|[21.787235,-3.0262709,8.628703]|1485609778230
8|3-axis Accelerometer|[21.260511,-2.4612393,9.193734]|1485609778239
8|3-axis Accelerometer|[20.772095,-1.9057846,9.864111]|1485609778249
8|3-axis Accelerometer|[20.025103,-1.091756,10.67814]|1485609778260
8|3-axis Accelerometer|[19.431341,-0.2681506,11.3964]|1485609778270
8|3-axis Accelerometer|[18.904617,0.63206923,11.884817]|1485609778279
8|3-axis Accelerometer|[18.751389,0.9959879,12.334928]|1485609778289
8|3-axis Accelerometer|[18.435352,0.91937345,12.785037]|1485609778299
8|3-axis Accelerometer|[17.764977,0.9864111,12.938266]|1485609778308
8|3-axis Accelerometer|[17.152061,1.0342951,12.679692]|1485609778318
8|3-axis Accelerometer|[16.280571,0.92895025,12.344504]|1485609778329
8|3-axis Accelerometer|[15.399506,0.92895025,12.152967]|1485609778339
8|3-axis Accelerometer|[14.202404,1.1300632,11.903971]|1485609778349
8|3-axis Accelerometer|[13.091495,1.1013328,11.693281]|1485609778358
8|3-axis Accelerometer|[11.856087,1.0726024,11.616667]|1485609778368
8|3-axis Accelerometer|[10.199299,1.3599066,11.769896]|1485609778378
8|3-axis Accelerometer|[8.7532015,2.0590134,11.884817]|1485609778387
8|3-axis Accelerometer|[7.73806,2.719813,12.162544]|1485609778398
8|3-axis Accelerometer|[7.1730285,3.6870706,12.373235]|1485609778408
8|3-axis Accelerometer|[6.751649,4.405331,12.334928]|1485609778418
8|3-axis Accelerometer|[6.646304,4.606444,12.325351]|1485609778427
8|3-axis Accelerometer|[6.5984197,4.156334,12.248735]|1485609778437
8|3-axis Accelerometer|[6.2345014,3.5051112,12.08593]|1485609778447
8|3-axis Accelerometer|[5.353435,3.1411927,11.3964]|1485609778457
8|3-axis Accelerometer|[4.4915223,2.7006595,10.275913]|1485609778466
8|3-axis Accelerometer|[4.0318356,2.3654714,9.615114]|1485609778476
8|3-axis Accelerometer|[3.6966474,2.3654714,9.155427]|1485609778487
8|3-axis Accelerometer|[3.3518825,2.5378537,8.858546]|1485609778497
8|3-axis Accelerometer|[3.1028855,2.6144683,8.360553]|1485609778506
8|3-axis Accelerometer|[2.8634653,2.5570073,7.843405]|1485609778516
8|3-axis Accelerometer|[2.6527755,2.528277,7.479486]|1485609778526
8|3-axis Accelerometer|[2.5187001,2.4612393,7.1634517]|1485609778536
8|3-axis Accelerometer|[2.27928,2.3175871,7.1347213]|1485609778545
8|3-axis Accelerometer|[1.541866,2.0973208,6.6750345]|1485609778555
8|3-axis Accelerometer|[0.8810662,1.8387469,6.1100025]|1485609778566
8|3-axis Accelerometer|[0.05746084,1.8004397,5.391742]|1485609778576
8|3-axis Accelerometer|[-0.90021986,2.1643584,4.501099]|1485609778586
8|3-axis Accelerometer|[-1.5610195,1.9440918,3.9360676]|1485609778595
8|3-axis Accelerometer|[-2.0685902,1.3024458,3.5529952]|1485609778605
8|3-axis Accelerometer|[-2.2601264,0.82360536,3.2465374]|1485609778615
8|3-axis Accelerometer|[-2.4612393,0.25857377,2.8921957]|1485609778624
8|3-axis Accelerometer|[-2.633622,-0.2681506,2.1452048]|1485609778635
8|3-axis Accelerometer|[-2.7868507,-0.5363012,1.1013328]|1485609778645
8|3-axis Accelerometer|[-2.6719291,-0.842759,0.009576807]|1485609778655
8|3-axis Accelerometer|[-2.72939,-1.0534488,-0.6895301]|1485609778664
8|3-axis Accelerometer|[-3.064578,-1.3024458,-0.79487497]|1485609778674
8|3-axis Accelerometer|[-3.1890767,-1.7525556,-0.47884035]|1485609778684
8|3-axis Accelerometer|[-3.323152,-1.9440918,-0.46926352]|1485609778694
8|3-axis Accelerometer|[-3.3423057,-1.8770541,-0.82360536]|1485609778703
8|3-axis Accelerometer|[-3.41892,-1.8674773,-1.4939818]|1485609778713
8|3-axis Accelerometer|[-3.3997664,-1.8674773,-2.0015526]|1485609778724
